HH_Id,Outside_HH_Mem_Num,HH_OM_Id,HH_OM_Name,HH_OM_Gender,HH_OM_Age,HHH_OM_Rlen,OM_Marital_Status,OM_Primary_Occupn,OM_Primary_Occupn_Othr,OM_Month_Worked,OM_Working_Hrs_Week,OM_Outside_Period,OM_Current_Place,Dist_House_Place,OM_Vist_Freq,OM_Read_Write,OM_Educn,OM_Educn_Othr,OM_Decn_Making,OM_Monetary_Flow
386,1,1,Removed,2,19,3,2,10, ,,,5,AREBA MENCH,705,2,1,13, ,1,2
388,1,1,Removed,2,21,3,2,8, ,10,54,5,ADDIS ABEBA,400,12,0,0, ,1,1
395,1,1,Removed,2,21,3,2,4, ,11,48,6,ADISS ABEBA,-99,6,0,0, ,1,1
533,1,1,Removed,2,21,3,2,7, ,5,70,5,debire birhan,180,12,1,5, ,1,4
564,1,1,Removed,2,20,3,2,10, ,,,7,HAWASA,-99,9,1,13, ,1,2
572,1,1,Removed,2,20,3,2,6, ,4,49,7,Debrebrhan Town (PRISONER),17,0,1,6, ,1,4
574,1,1,Removed,2,37,3,2,7, ,12,40,6,ADDIS ABEBA,120,6,1,10, ,1,1
946,1,1,Removed,1,32,3,2,7, ,12,40,12,WALEYTA SODO,408,1,1,10, ,1,1
952,1,1,Removed,1,25,3,2,8, ,12,70,5,ADDIS ABEBA,80,6,1,8, ,1,4
962,1,1,Removed,1,20,3,2,7, ,12,40,6,ADDIS ABEBA,287,6,1,10, ,1,1
968,2,1,Removed,1,35,3,2,4, ,12,48,12,DEBRE BIRHAN,150,1,1,7, ,1,1
968,2,2,Removed,2,20,3,2,4, ,12,40,12,DEBRE BIRHAN,150,1,1,9, ,1,1
969,2,1,Removed,2,23,3,2,8, ,11,48,11,DEBRE BERHANE,-99,6,1,10, ,1,1
969,2,2,Removed,2,20,3,2,8, ,11,48,10,DEBRE BERHANE,-99,6,1,8, ,1,1
1354,2,1,Removed,1,18,3,2,8, ,12,48,12,ADDIS ABEBA,-99,12,1,10, ,1,1
1354,2,2,Removed,1,16,3,2,8, ,11,48,12,ADDIS ABEBA,-99,12,1,9, ,1,1
1382,1,1,Removed,1,24,3,2,7, ,12,40,12,ADDIS ABEBA,-99,1,1,8, ,1,1
1390,3,1,Removed,1,28,3,2,8, ,11,48,12,ADDIS ABEBA,-99,6,1,12, ,1,1
1390,3,2,Removed,1,25,3,2,8, ,11,48,12,ADDIS ABEBA,-99,6,1,8, ,1,1
1390,3,3,Removed,1,16,3,2,10, ,,,12,DEBERE BERHANE,-99,12,1,5, ,1,2
1393,1,1,Removed,2,20,3,2,11, ,,,12,ADDIS ABEBA,80,12,1,8, ,1,4
1505,1,1,Removed,1,23,3,2,8, ,12,56,12,KUWAIT,-99,0,1,4, ,1,1
1934,2,1,Removed,1,24,3,2,7, ,11,48,12,KOYE,-99,2,1,13, ,1,3
1934,2,2,Removed,1,16,3,2,10, ,,,9,KOYE,-99,1,0,11, ,1,2
1945,1,1,Removed,2,26,3,2,7, ,11,48,12,ZEGAME,-99,12,1,10, ,1,1
1949,1,1,Removed,2,29,3,2,8, ,12,56,5,ADDIS ABEBA,495,3,1,7, ,1,3
1952,2,1,Removed,2,23,3,2,10, ,,,10,belohora univeresety,-99,10,1,13, ,1,2
1952,2,2,Removed,2,19,3,2,10, ,,,10,boluhora univeresety,-99,10,1,13, ,1,2
1953,2,1,Removed,2,24,3,2,4, ,12,56,5,ENJEBARA,55,5,1,12, ,1,4
1953,2,2,Removed,1,21,3,2,4, ,12,56,6,ENJEBARA,55,5,1,9, ,1,1
1954,3,1,Removed,1,28,3,2,7, ,12,40,6,ADDIS ABEBA,120,12,1,14, ,1,1
1954,3,2,Removed,1,26,3,2,7, ,12,48,12,ADDIS ABEBA,120,12,1,14, ,1,1
1954,3,3,Removed,1,20,3,2,10, ,,,12,ADDIS ABEBA,120,12,1,13, ,1,2
1957,1,1,Removed,2,30,3,2,8, ,12,48,5,DEBRE BERHANE,-99,3,1,97, ,1,1
1975,2,1,Removed,1,25,3,2,8, ,6,54,6,motta,40,2,1,6, ,1,4
1975,2,2,Removed,2,23,3,2,8, ,6,50,6,motta,40,1,1,6, ,2,4
2000,2,1,Removed,2,24,3,2,7, ,12,48,8,ADDIS ABEBA,450,1,1,12, ,1,4
2000,2,2,Removed,1,20,3,2,8, ,9,48,5,ADDIS ABEBA,450,5,1,10, ,1,2
2020,1,1,Removed,2,23,3,2,10, ,,,10,axume,-99,10,1,13, ,1,2
2025,2,1,Removed,2,23,3,2,8, ,12,48,5,ADDIS ABEBA,302,5,1,11, ,1,2
2025,2,2,Removed,2,16,3,2,8, ,8,40,8,ADDIS ABEBA,302,5,1,4, ,1,4
2026,1,1,Removed,2,22,3,2,8, ,12,48,12,BICHENA,-99,2,1,4, ,1,3
2032,1,1,Removed,1,25,3,2,10, ,,,12,WELAYTA,-99,6,1,13, ,1,2
2088,1,1,Removed,2,16,3,2,10, ,,,12,AMANUELE,-99,3,1,7, ,2,2
4002,1,1,Removed,2,27,3,2,7, ,10,48,12,WELKITE,-99,12,1,14, ,2,1
4014,1,1,Removed,2,24,3,2,8, ,12,48,12,ADISS ABEBA,-99,6,1,6, ,1,3
4029,2,1,Removed,1,28,3,2,7, ,12,48,6,ADISS ABEBA,-99,4,1,8, ,1,1
4029,2,2,Removed,1,22,3,2,7, ,11,48,12,ADISS ABEBA,-99,4,1,9, ,1,1
4037,2,1,Removed,1,23,3,2,7, ,11,36,10,MEHALE MEDA,-99,2,1,13, ,1,1
4037,2,2,Removed,2,20,3,2,4, ,12,48,11,MEHALE MEDA,-99,2,1,10, ,1,1
4043,1,1,Removed,1,30,3,2,7, ,11,48,12,ADISS ABABA,-99,11,1,9, ,1,1
279,1,1,Removed,1,16,3,2,10, ,,,10,ADDIS ABABA,-99,2,1,9, ,1,4
286,2,1,Removed,2,23,3,2,10, ,,,10,Holota town,-99,20,1,13, ,1,2
286,2,2,Removed,2,25,3,2,8, ,9,48,9,Holota,-99,2,1,5, ,1,4
303,3,1,Removed,2,30,3,2,8, ,10,48,10,Bishoftu,-99,6,1,7, ,1,4
303,3,2,Removed,1,15,3,2,8, ,9,35,9,Bishoftu,-99,1,1,6, ,1,4
303,3,3,Removed,2,20,3,2,8, ,10,48,10,Bishoftu,-99,2,0,0, ,1,4
307,1,1,Removed,1,17,3,2,8, ,10,42,10,Bishoftu town,-99,2,1,7, ,1,4
522,4,1,Removed,1,35,0,1,2, ,10,40,4,MULO,-99,2,0,0, ,2,1
522,4,2,Removed,2,38,1,1,5, ,10,40,4,MULO,-99,2,0,0, ,2,1
522,4,3,Removed,1,35,0,1,1, ,10,40,4,KEMISE,-99,1,0,0, ,2,1
522,4,4,Removed,1,35,0,1,1, ,10,8,4,MULO,-99,5,0,0, ,1,1
586,1,1,Removed,2,17,3,2,10, ,,,12,JIMMA,25,6,1,98, ,1,2
588,1,1,Removed,1,20,3,2,10, ,,,6,DEDO,25,1,1,14, ,2,2
589,1,1,Removed,2,21,3,2,10, ,,,6,DEDDO,-99,6,1,15, ,1,2
720,1,1,Removed,1,18,3,2,10, ,,,10,WOLISO,25,1,1,10, ,1,2
724,1,1,Removed,2,17,3,2,10, ,,,10,WALISO,20,3,1,10, ,2,2
809,1,1,Removed,2,18,3,2,10, ,,,10,WOLISO,20,1,1,9, ,2,2
813,1,1,Removed,2,20,3,2,10, ,,,10,WOLISO,25,1,1,9, ,2,2
814,3,1,Removed,2,20,3,2,10, ,,,10,WALISO,20,3,1,10, ,1,2
814,3,2,Removed,1,18,3,2,10, ,,,10,WALISO,20,4,1,12, ,1,2
814,3,3,Removed,1,16,3,2,10, ,,,10,WALISO,20,4,1,9, ,1,2
1456,1,1,Removed,1,19,3,2,10, ,,,10,Holota,-99,20,1,13, ,1,2
1462,1,1,Removed,1,23,3,2,10, ,,,10,HOLATA,45,1,1,13, ,2,2
1549,1,1,Removed,2,19,3,2,10, ,,,8,Beshoftu,25,1,1,10, ,2,2
1620,2,1,Removed,2,18,3,2,10, ,,,10,Mojo,12,6,1,7, ,1,4
1620,2,2,Removed,1,16,3,2,10, ,,,10,Mojo,12,6,1,7, ,1,4
1638,1,1,Removed,2,35,3,2,11, ,,,10,JIMMA,25,6,0,0, ,1,4
1688,1,1,Removed,1,22,3,2,10, ,,,8,Nekemit,-99,1,1,13, ,2,2
1692,1,1,Removed,2,22,3,2,10, ,,,8,Gambella,-99,1,1,13, ,2,2
1806,1,1,Removed,2,26,3,2,8, ,9,48,10,Adama,-99,2,1,12, ,1,4
1814,1,1,Removed,2,18,3,2,10, ,,,10,Maki,8,20,1,10, ,1,4
1818,1,1,Removed,2,24,3,2,10, ,,,10,Jimma,-99,1,1,13, ,2,2
1819,1,1,Removed,2,20,3,2,10, ,,,10,Maki town,-99,10,1,10, ,1,4
1822,1,1,Removed,1,18,3,2,10, ,,,10,Maki Town,24,3,1,10, ,1,4
1823,1,1,Removed,2,19,3,2,4, ,8,60,6,Maki,-99,2,1,7, ,1,4
1830,3,1,Removed,2,19,3,2,10, ,,,10,Mike,50,1,1,9, ,3,2
1830,3,2,Removed,1,20,3,2,10, ,,,10,BUTAJIRA,-99,1,1,12, ,3,2
1830,3,3,Removed,2,17,3,2,10, ,,,12,BUTAJIRA,-99,1,1,9, ,2,2
1834,4,1,Removed,2,30,3,2,4, ,8,36,11,Diredaw,-99,1,1,12, ,3,1
1834,4,2,Removed,2,23,3,2,4, ,6,48,10,Mike,50,1,1,12, ,3,1
1834,4,3,Removed,2,24,3,2,4, ,5,30,8,Ziway,-99,1,1,13, ,3,1
1834,4,4,Removed,2,21,3,2,10, ,,,10,Mike,50,1,1,9, ,2,2
1835,1,1,Removed,2,30,3,2,10, ,,,9,Jimma,-99,1,1,13, ,3,2
1836,3,1,Removed,2,24,3,2,8, ,9,72,9,Maki Town,24,2,1,12, ,1,4
1836,3,2,Removed,2,18,3,2,10, ,,,10,Maki town,24,4,1,10, ,1,4
1836,3,3,Removed,1,20,3,2,10, ,,,10,Maki town,24,4,1,11, ,1,4
1842,1,1,Removed,1,19,3,2,10, ,,,8,Bishoftu town,12,20,1,11, ,1,4
1852,1,1,Removed,2,23,3,2,10, ,,,10,Tulu Town,12,40,1,10, ,1,4
1859,1,1,Removed,2,17,3,2,10, ,,,10,Tulu town,15,20,1,8, ,1,4
3009,1,1,Removed,1,26,3,2,4, ,4,42,4,Adama,125,0,1,4, ,1,4
3019,1,1,Removed,2,22,3,2,4, ,12,40,8,Beshoftu,27,1,1,10, ,2,1
3021,1,1,Removed,2,35,3,2,8, ,10,48,10,Sundafa,-99,6,1,10, ,1,4
3023,1,1,Removed,1,16,3,2,10, ,,,12,Beshoftu,20,1,1,10, ,1,2
3026,1,1,Removed,1,21,3,2,10, ,,,10,WOLISO,20,1,1,11, ,2,2
136,3,1,Removed,1,22,3,2,10, ,,,10,JINKA,-99,6,1,13, ,2,2
136,3,2,Removed,1,21,3,2,8, ,12,63,12,DUBAY,-99,12,1,10, ,2,1
136,3,3,Removed,2,20,3,2,10, ,,,10,ASELA,-99,6,1,12, ,2,2
139,1,1,Removed,2,18,3,2,10, ,,,10,KERSA,-99,6,1,9, ,2,2
423,2,1,Removed,2,35,3,2,7, ,12,56,5,Asela,-99,1,1,14, ,1,4
423,2,2,Removed,1,30,3,2,7, ,12,60,4,Dubai,-99,0,1,9, ,1,4
425,1,1,Removed,2,17,3,2,8, ,12,84,12,ARAB COUNTRY,-99,0,1,10, ,1,1
433,1,1,Removed,1,40,2,3,1, ,8,80,12,AMERICA,-99,0,1,3, ,1,4
548,1,1,Removed,1,18,3,2,10, ,,,7,KERSA TOWN,-99,6,1,11, ,1,2
559,1,1,Removed,1,20,3,2,7, ,12,56,12,DUBAI,-99,0,1,6, ,1,1
667,1,1,Removed,1,18,3,2,8, ,9,48,9,DUKEM,-99,5,1,10, ,1,4
678,1,1,Removed,2,25,3,2,10, ,,,6,UNVERS OF JIMA,99,1,1,13, ,1,2
679,1,1,Removed,2,23,3,2,11, ,,,5,ADDIS ABEBA,-99,4,1,14, ,2,2
683,1,1,Removed,1,17,3,2,8, ,6,56,6,DUBAY,-99,0,1,6, ,2,4
693,1,1,Removed,2,20,3,2,4, ,12,56,12,SAUDI ARABIA,-99,0,1,9, ,1,1
702,3,1,Removed,2,25,3,1,4, ,12,56,12,YEMAN,-99,0,1,12, ,1,1
702,3,2,Removed,1,23,3,2,4, ,12,56,12,DUBAI,-99,0,1,6, ,1,1
702,3,3,Removed,1,20,3,2,4, ,12,56,12,BERUT,-99,0,1,6, ,1,1
872,3,1,Removed,2,19,3,2,10, ,,,10,ASELA,-99,6,1,11, ,2,2
872,3,2,Removed,2,18,3,2,10, ,,,8,ASELA,-99,5,1,10, ,2,2
872,3,3,Removed,2,17,3,2,10, ,,,6,ASELA,-99,6,1,10, ,2,2
874,2,1,Removed,2,26,3,2,10, ,,,6,JIGJIGA,-99,6,1,13, ,2,2
874,2,2,Removed,1,25,3,2,10, ,,,5,ASELA,-99,5,1,6, ,1,2
901,1,1,Removed,2,22,3,2,10, ,,,10,JIMA,-99,10,1,13, ,2,2
907,2,1,Removed,1,19,3,2,10, ,,,10,DODOLA,-99,6,1,11, ,2,2
907,2,2,Removed,2,16,3,2,10, ,,,10,DODOLA,-99,6,1,9, ,2,2
1232,2,1,Removed,2,22,3,2,10, ,,,12,BEKOJI,-99,6,1,11, ,2,2
1232,2,2,Removed,1,18,3,2,10, ,,,4,HURUTA,-99,5,1,9, ,1,2
1238,1,1,Removed,1,24,3,2,7, ,12,60,12,Saud Arabia,-99,48,1,10, ,1,2
1312,1,1,Removed,2,25,3,2,11, ,,,8,ADIS ABABA,-99,1,1,14, ,1,3
6001,2,1,Removed,2,24,3,2,7, ,12,56,6,Adama,70,6,1,14, ,1,1
6001,2,2,Removed,1,15,3,2,10, ,,,6,Adama,70,6,1,6, ,1,4
6003,1,1,Removed,1,21,3,2,7, ,12,70,8,Saud Arabia,-99,8,1,5, ,1,1
6030,1,1,Removed,1,19,3,2,10, ,,,8,OUTSIDE COUNTRY,-99,0,1,6, ,1,1
6037,2,1,Removed,2,20,3,2,4, ,12,56,4,SAUDI ARABIA,-99,0,1,8, ,1,1
6037,2,2,Removed,2,18,3,2,4, ,12,56,12,DUBAI,-99,0,1,7, ,1,1
329,1,1,Removed,2,17,3,2,2, ,10,20,5,HOSANA,-99,1,1,10, ,4,4
330,1,1,Removed,1,28,3,2,1, ,10,10,5,DEBUB AFRICA,-99,1,1,3, ,2,2
333,1,1,Removed,1,24,13,2,1, ,12,90,11,BERUT,-99,0,1,9, ,1,4
334,1,1,Removed,1,25,3,2,1, ,12,80,7,ADIS ABABA,-99,1,1,9, ,1,4
340,3,1,Removed,2,35,3,2,5, ,10,48,6,GIMBUCHU,18,2,1,13, ,1,1
340,3,2,Removed,1,23,3,2,1, ,12,54,9,DUBAI,-99,0,1,9, ,2,2
340,3,3,Removed,1,33,3,1,5, ,12,47,12,BERUTI,-99,0,1,10, ,1,1
495,1,1,Removed,2,22,3,2,10, ,,,4,HAWASSA,-99,12,1,14, ,2,2
500,1,1,Removed,1,10,3,2,10, ,,,6,ADIS ABEBA,-99,1,1,3, ,1,4
1179,1,1,Removed,2,19,3,2,10, ,,,5,ASOSA,950,0,1,13, ,2,4
1182,1,1,Removed,2,18,3,2,4, ,12,52,6,ADIS ABABA,362,0,1,10, ,1,1
1733,3,1,Removed,2,27,3,2,4, ,12,70,8,ADIS ABEBA,60,0,1,8, ,1,1
1733,3,2,Removed,1,20,3,2,7, ,12,84,12,BERUT,-99,0,1,8, ,1,1
1733,3,3,Removed,1,18,3,2,7, ,12,84,6,BERUT,-99,0,1,7, ,1,1
1734,1,1,Removed,1,22,3,2,10, ,,,6,WORABE,-99,0,1,13, ,1,2
1760,1,1,Removed,1,18,3,2,4, ,5,42,5,BERUT,-99,0,1,11, ,1,1
1763,1,1,Removed,2,30,3,1,8, ,12,60,9,NAZIRET,-99,1,1,10, ,3,3
1778,1,1,Removed,2,27,3,2,7, ,12,48,11,ARBA MINCHI,-99,11,1,16, ,2,1
1784,2,1,Removed,2,23,3,2,10, ,,,6,ADIS ABEBA,130,0,1,12, ,1,2
1784,2,2,Removed,1,20,3,2,8, ,12,98,12,DUBAI,-99,0,1,10, ,1,1
5028,3,1,Removed,1,28,3,2,8, ,12,56,10,MEKI,-99,0,1,6, ,1,1
5028,3,2,Removed,2,25,3,2,8, ,12,84,6,ADIS ABEBA,70,0,1,5, ,1,1
5028,3,3,Removed,2,20,3,2,8, ,12,70,12,ADIS ABEBA,70,2,1,6, ,1,4
