acc_metadataset_id,dataset_id,sample_id,acc_sample_id
1058,7,4534,1
1065,7,4535,1
1176,7,4536,1
1044,7,4537,1
1053,7,4538,1
1033,7,4539,1
1049,7,4540,1
1083,7,4541,1
1134,7,4542,1
1138,7,4543,1
1059,7,4544,1
1036,7,4545,1
1061,7,4546,1
1099,7,4547,1
1089,7,4548,1
1151,7,4549,1
1153,7,4550,1
1035,7,4551,1
1164,7,4552,1
1042,7,4553,1
1029,7,4554,1
1092,7,4555,1
1055,7,4556,1
1056,7,4557,1
1141,7,4558,1
1165,7,4559,1
1129,7,4560,1
1048,7,4561,1
1084,7,4562,1
1162,7,4563,1
1068,7,4564,1
1077,7,4565,1
1091,7,4566,1
1046,7,4567,1
1064,7,4568,1
1123,7,4569,1
1135,7,4570,1
1144,7,4571,1
1147,7,4572,1
1133,7,4573,1
1028,7,4574,1
1095,7,4575,1
1154,7,4576,1
1122,7,4577,1
1106,7,4578,1
1142,7,4579,1
1173,7,4580,1
1117,7,4581,1
1137,7,4582,1
1067,7,4583,1
1054,7,4584,1
1195,7,4585,1
1170,7,4586,1
1078,7,4587,1
1074,7,4588,1
1086,7,4589,1
1101,7,4590,1
1192,7,4591,1
1175,7,4592,1
1158,7,4593,1
1113,7,4594,1
1130,7,4595,1
1118,7,4596,1
1094,7,4597,1
1185,7,4598,1
1075,7,4599,1
1119,7,4600,1
1072,7,4601,1
1139,7,4602,1
1167,7,4603,1
1155,7,4604,1
1051,7,4605,1
1177,7,4606,1
1043,7,4607,1
1172,7,4608,1
1062,7,4609,1
1098,7,4610,1
1196,7,4611,1
1152,7,4612,1
1082,7,4613,1
1171,7,4614,1
1189,7,4615,1
1181,7,4616,1
1037,7,4617,1
1045,7,4618,1
1127,7,4619,1
1191,7,4620,1
1032,7,4621,1
1159,7,4622,1
1100,7,4623,1
1194,7,4624,1
1148,7,4625,1
1060,7,4626,1
1111,7,4627,1
1186,7,4628,1
1110,7,4629,1
1157,7,4630,1
1050,7,4631,1
1161,7,4632,1
1039,7,4633,1
1076,7,4634,1
1038,7,4635,1
1093,7,4636,1
1168,7,4637,1
1052,7,4638,1
1124,7,4639,1
1163,7,4640,1
1140,7,4641,1
1146,7,4642,1
1120,7,4643,1
1079,7,4644,1
1190,7,4645,1
1126,7,4646,1
1156,7,4647,1
1090,7,4648,1
1031,7,4649,1
1097,7,4650,1
1182,7,4651,1
1143,7,4652,1
1145,7,4653,1
1132,7,4654,1
1160,7,4655,1
1128,7,4656,1
1069,7,4657,1
1187,7,4658,1
1104,7,4659,1
1102,7,4660,1
1063,7,4661,1
1180,7,4662,1
1149,7,4663,1
1125,7,4664,1
1087,7,4665,1
1040,7,4666,1
1115,7,4667,1
1178,7,4668,1
1108,7,4669,1
1166,7,4670,1
1197,7,4671,1
1116,7,4672,1
1081,7,4673,1
1085,7,4674,1
1034,7,4675,1
1070,7,4676,1
1047,7,4677,1
1088,7,4678,1
1169,7,4679,1
1184,7,4680,1
1183,7,4681,1
1066,7,4682,1
1096,7,4683,1
1107,7,4684,1
1131,7,4685,1
1114,7,4686,1
1073,7,4687,1
1105,7,4688,1
1057,7,4689,1
1121,7,4690,1
1193,7,4691,1
1030,7,4692,1
1188,7,4693,1
1103,7,4694,1
1027,7,4695,1
1150,7,4696,1
1080,7,4697,1
1179,7,4698,1
1136,7,4699,1
1041,7,4700,1
1071,7,4701,1
1112,7,4702,1
1109,7,4703,1
1174,7,4704,1
1229,8,4534,1
1236,8,4535,1
1347,8,4536,1
1215,8,4537,1
1224,8,4538,1
1204,8,4539,1
1220,8,4540,1
1254,8,4541,1
1305,8,4542,1
1309,8,4543,1
1230,8,4544,1
1207,8,4545,1
1232,8,4546,1
1270,8,4547,1
1260,8,4548,1
1322,8,4549,1
1324,8,4550,1
1206,8,4551,1
1335,8,4552,1
1213,8,4553,1
1200,8,4554,1
1263,8,4555,1
1226,8,4556,1
1227,8,4557,1
1312,8,4558,1
1336,8,4559,1
1300,8,4560,1
1219,8,4561,1
1255,8,4562,1
1333,8,4563,1
1239,8,4564,1
1248,8,4565,1
1262,8,4566,1
1217,8,4567,1
1235,8,4568,1
1294,8,4569,1
1306,8,4570,1
1315,8,4571,1
1318,8,4572,1
1304,8,4573,1
1199,8,4574,1
1266,8,4575,1
1325,8,4576,1
1293,8,4577,1
1277,8,4578,1
1313,8,4579,1
1344,8,4580,1
1288,8,4581,1
1308,8,4582,1
1238,8,4583,1
1225,8,4584,1
1366,8,4585,1
1341,8,4586,1
1249,8,4587,1
1245,8,4588,1
1257,8,4589,1
1272,8,4590,1
1363,8,4591,1
1346,8,4592,1
1329,8,4593,1
1284,8,4594,1
1301,8,4595,1
1289,8,4596,1
1265,8,4597,1
1356,8,4598,1
1246,8,4599,1
1290,8,4600,1
1243,8,4601,1
1310,8,4602,1
1338,8,4603,1
1326,8,4604,1
1222,8,4605,1
1348,8,4606,1
1214,8,4607,1
1343,8,4608,1
1233,8,4609,1
1269,8,4610,1
1367,8,4611,1
1323,8,4612,1
1253,8,4613,1
1342,8,4614,1
1360,8,4615,1
1352,8,4616,1
1208,8,4617,1
1216,8,4618,1
1298,8,4619,1
1362,8,4620,1
1203,8,4621,1
1330,8,4622,1
1271,8,4623,1
1365,8,4624,1
1319,8,4625,1
1231,8,4626,1
1282,8,4627,1
1357,8,4628,1
1281,8,4629,1
1328,8,4630,1
1221,8,4631,1
1332,8,4632,1
1210,8,4633,1
1247,8,4634,1
1209,8,4635,1
1264,8,4636,1
1339,8,4637,1
1223,8,4638,1
1295,8,4639,1
1334,8,4640,1
1311,8,4641,1
1317,8,4642,1
1291,8,4643,1
1250,8,4644,1
1361,8,4645,1
1297,8,4646,1
1327,8,4647,1
1261,8,4648,1
1202,8,4649,1
1268,8,4650,1
1353,8,4651,1
1314,8,4652,1
1316,8,4653,1
1303,8,4654,1
1331,8,4655,1
1299,8,4656,1
1240,8,4657,1
1358,8,4658,1
1275,8,4659,1
1273,8,4660,1
1234,8,4661,1
1351,8,4662,1
1320,8,4663,1
1296,8,4664,1
1258,8,4665,1
1211,8,4666,1
1286,8,4667,1
1349,8,4668,1
1279,8,4669,1
1337,8,4670,1
1368,8,4671,1
1287,8,4672,1
1252,8,4673,1
1256,8,4674,1
1205,8,4675,1
1241,8,4676,1
1218,8,4677,1
1259,8,4678,1
1340,8,4679,1
1355,8,4680,1
1354,8,4681,1
1237,8,4682,1
1267,8,4683,1
1278,8,4684,1
1302,8,4685,1
1285,8,4686,1
1244,8,4687,1
1276,8,4688,1
1228,8,4689,1
1292,8,4690,1
1364,8,4691,1
1201,8,4692,1
1359,8,4693,1
1274,8,4694,1
1198,8,4695,1
1321,8,4696,1
1251,8,4697,1
1350,8,4698,1
1307,8,4699,1
1212,8,4700,1
1242,8,4701,1
1283,8,4702,1
1280,8,4703,1
1345,8,4704,1
1369,9,4892,1
1370,9,4893,1
1371,9,4894,1
1372,9,4895,1
1373,9,4896,1
1374,9,4897,1
1375,9,4898,1
1376,9,4899,1
1377,9,4900,1
1378,9,4901,1
1379,9,4902,1
1380,9,4903,1
1381,9,4904,1
1382,9,4905,1
1383,9,4906,1
1384,9,4907,1
1385,9,4908,1
1386,9,4909,1
1387,9,4910,1
1388,9,4911,1
1389,9,4912,1
1390,9,4913,1
1391,9,4914,1
1392,9,4915,1
1393,9,4916,1
1394,9,4917,1
1395,9,4918,1
1396,9,4919,1
1397,9,4920,1
1398,9,4921,1
1399,9,4922,1
1400,9,4923,1
1401,9,4924,1
1402,9,4925,1
1403,9,4926,1
1404,9,4927,1
1405,9,4928,1
1406,9,4929,1
1407,9,4930,1
1408,9,4931,1
1409,9,4932,1
1410,9,4933,1
1411,9,4934,1
1412,9,4935,1
1413,9,4936,1
1414,9,4937,1
1415,9,4938,1
1416,9,4939,1
1417,9,4940,1
1418,9,4941,1
1419,9,4942,1
1420,9,4943,1
1421,9,4944,1
1422,9,4945,1
1423,9,4946,1
1424,9,4947,1
1425,9,4948,1
1426,9,4949,1
1427,9,4950,1
1428,9,4951,1
1429,9,4952,1
1430,9,4953,1
1431,9,4954,1
1432,9,4955,1
1433,9,4956,1
1434,9,4957,1
1435,9,4958,1
1436,9,4959,1
1437,9,4960,1
1438,9,4961,1
1439,9,4962,1
1440,9,4963,1
1441,9,4964,1
1442,9,4965,1
1443,9,4966,1
1444,9,4967,1
1445,9,4968,1
1446,9,4969,1
1447,9,4970,1
1448,9,4971,1
1449,9,4972,1
1450,9,4973,1
1451,9,4974,1
1452,9,4975,1
1453,9,4976,1
1454,9,4977,1
1455,9,4978,1
1456,9,4979,1
1457,9,4980,1
1458,9,4981,1
1459,9,4982,1
1460,9,4983,1
1461,9,4984,1
1462,9,4985,1
1463,9,4986,1
1464,9,4987,1
1465,9,4988,1
1466,9,4989,1
1467,9,4990,1
1468,9,4991,1
1469,9,4992,1
1470,9,4993,1
1471,9,4994,1
1472,9,4995,1
1473,9,4996,1
1474,9,4997,1
1475,9,4998,1
1476,9,4999,1
1477,9,5000,1
1478,9,5001,1
1479,9,5002,1
1480,9,5003,1
1481,9,5004,1
1482,9,5005,1
1483,9,5006,1
1484,9,5007,1
1485,9,5008,1
1486,9,5009,1
1487,9,5010,1
1488,9,5011,1
1489,9,5012,1
1490,9,5013,1
1491,9,5014,1
1492,9,5015,1
1493,9,5016,1
1494,9,5017,1
1495,9,5018,1
1496,9,5019,1
1497,9,5020,1
1498,9,5021,1
1499,9,5022,1
1500,9,5023,1
1501,9,5024,1
1502,9,5025,1
1503,9,5026,1
1504,9,5027,1
1505,9,5028,1
1506,9,5029,1
1507,9,5030,1
1508,9,5031,1
1509,9,5032,1
1510,9,5033,1
1511,9,5034,1
1512,9,5035,1
1513,9,5036,1
1514,9,5037,1
1515,9,5038,1
1516,9,5039,1
1517,9,5040,1
1518,9,5041,1
1519,9,5042,1
1520,9,5043,1
1521,9,5044,1
1522,9,5045,1
1523,9,5046,1
1524,9,5047,1
1525,9,5048,1
1526,9,5049,1
1527,9,5050,1
1528,9,5051,1
1529,9,5052,1
1530,9,5053,1
1531,9,5054,1
1532,9,5055,1
1533,9,5056,1
1534,9,5057,1
1535,9,5058,1
1536,9,5059,1
1537,9,5060,1
1538,9,5061,1
1539,9,5062,1
1540,9,5063,1
1541,9,5064,1
1542,9,5065,1
1543,9,5066,1
1544,9,5067,1
1545,9,5068,1
1546,9,5069,1
1547,9,5070,1
1548,9,5071,1
1549,9,5072,1
1550,9,5073,1
1551,9,5074,1
1552,9,5075,1
1553,9,5076,1
1554,9,5077,1
1555,9,5078,1
1556,9,5079,1
1557,9,5080,1
1558,9,5081,1
